,id,date,team1,team2,toss_winner,winner,inning,over,batting_team,bowling_team,field,D/L,eliminator?,total_runs_y,cum_total,cum_wicket
72,1254058,2021-04-09,12,5,5,5,1,11.5,12,5,1,0,0,159,97,2
73,1254058,2021-04-09,12,5,5,5,1,11.6,12,5,1,0,0,159,98,2
74,1254058,2021-04-09,12,5,5,5,1,12.1,12,5,1,0,0,159,99,2
75,1254058,2021-04-09,12,5,5,5,1,12.2,12,5,1,0,0,159,103,2
76,1254058,2021-04-09,12,5,5,5,1,12.3,12,5,1,0,0,159,104,2
77,1254058,2021-04-09,12,5,5,5,1,12.4,12,5,1,0,0,159,105,2
78,1254058,2021-04-09,12,5,5,5,1,12.5,12,5,1,0,0,159,105,3
79,1254058,2021-04-09,12,5,5,5,1,12.6,12,5,1,0,0,159,105,3
80,1254058,2021-04-09,12,5,5,5,1,13.1,12,5,1,0,0,159,106,3
81,1254058,2021-04-09,12,5,5,5,1,13.2,12,5,1,0,0,159,108,3
82,1254058,2021-04-09,12,5,5,5,1,13.3,12,5,1,0,0,159,114,3
83,1254058,2021-04-09,12,5,5,5,1,13.4,12,5,1,0,0,159,118,3
84,1254058,2021-04-09,12,5,5,5,1,13.5,12,5,1,0,0,159,119,3
85,1254058,2021-04-09,12,5,5,5,1,13.6,12,5,1,0,0,159,120,3
86,1254058,2021-04-09,12,5,5,5,1,14.1,12,5,1,0,0,159,120,3
87,1254058,2021-04-09,12,5,5,5,1,14.2,12,5,1,0,0,159,124,3
88,1254058,2021-04-09,12,5,5,5,1,14.3,12,5,1,0,0,159,124,3
89,1254058,2021-04-09,12,5,5,5,1,14.4,12,5,1,0,0,159,125,3
90,1254058,2021-04-09,12,5,5,5,1,14.5,12,5,1,0,0,159,127,3
91,1254058,2021-04-09,12,5,5,5,1,14.6,12,5,1,0,0,159,128,3
92,1254058,2021-04-09,12,5,5,5,1,15.1,12,5,1,0,0,159,128,3
93,1254058,2021-04-09,12,5,5,5,1,15.2,12,5,1,0,0,159,129,3
94,1254058,2021-04-09,12,5,5,5,1,15.3,12,5,1,0,0,159,131,3
95,1254058,2021-04-09,12,5,5,5,1,15.4,12,5,1,0,0,159,135,3
96,1254058,2021-04-09,12,5,5,5,1,15.5,12,5,1,0,0,159,135,3
97,1254058,2021-04-09,12,5,5,5,1,15.6,12,5,1,0,0,159,135,4
98,1254058,2021-04-09,12,5,5,5,1,16.1,12,5,1,0,0,159,136,4
99,1254058,2021-04-09,12,5,5,5,1,16.2,12,5,1,0,0,159,140,4
100,1254058,2021-04-09,12,5,5,5,1,16.3,12,5,1,0,0,159,141,4
101,1254058,2021-04-09,12,5,5,5,1,16.4,12,5,1,0,0,159,141,4
102,1254058,2021-04-09,12,5,5,5,1,16.5,12,5,1,0,0,159,141,4
103,1254058,2021-04-09,12,5,5,5,1,16.6,12,5,1,0,0,159,142,4
104,1254058,2021-04-09,12,5,5,5,1,16.7,12,5,1,0,0,159,142,4
105,1254058,2021-04-09,12,5,5,5,1,17.1,12,5,1,0,0,159,142,4
106,1254058,2021-04-09,12,5,5,5,1,17.2,12,5,1,0,0,159,143,4
107,1254058,2021-04-09,12,5,5,5,1,17.3,12,5,1,0,0,159,145,4
108,1254058,2021-04-09,12,5,5,5,1,17.4,12,5,1,0,0,159,145,5
109,1254058,2021-04-09,12,5,5,5,1,17.5,12,5,1,0,0,159,145,5
110,1254058,2021-04-09,12,5,5,5,1,17.6,12,5,1,0,0,159,146,5
111,1254058,2021-04-09,12,5,5,5,1,18.1,12,5,1,0,0,159,147,5
112,1254058,2021-04-09,12,5,5,5,1,18.2,12,5,1,0,0,159,148,5
113,1254058,2021-04-09,12,5,5,5,1,18.3,12,5,1,0,0,159,153,5
114,1254058,2021-04-09,12,5,5,5,1,18.4,12,5,1,0,0,159,153,5
115,1254058,2021-04-09,12,5,5,5,1,18.5,12,5,1,0,0,159,154,5
116,1254058,2021-04-09,12,5,5,5,1,18.6,12,5,1,0,0,159,158,5
117,1254058,2021-04-09,12,5,5,5,1,18.7,12,5,1,0,0,159,158,5
118,1254058,2021-04-09,12,5,5,5,1,19.1,12,5,1,0,0,159,158,6
119,1254058,2021-04-09,12,5,5,5,1,19.2,12,5,1,0,0,159,158,7
120,1254058,2021-04-09,12,5,5,5,1,19.3,12,5,1,0,0,159,158,7
121,1254058,2021-04-09,12,5,5,5,1,19.4,12,5,1,0,0,159,158,8
122,1254058,2021-04-09,12,5,5,5,1,19.5,12,5,1,0,0,159,158,8
123,1254058,2021-04-09,12,5,5,5,1,19.6,12,5,1,0,0,159,159,9
124,1254058,2021-04-09,12,5,5,5,2,0.1,5,12,1,0,0,160,0,0
125,1254058,2021-04-09,12,5,5,5,2,0.2,5,12,1,0,0,160,0,0
